ImageId,ClassId,ClassCount,ClassIds
114e89e60_2,0,0,[]
a3e2c4510_4,0,0,[]
8d9b704ff_1,0,0,[]
419dc2472_1,0,0,[]
a567b95ad_3,0,0,[]
51d7bee0a_3,0,0,[]
6b86a9593_2,0,0,[]
c084838d5_5,0,0,[]
6a248797a_2,0,0,[]
d67745c5b_1,0,0,[]
708c66026_1,0,0,[]
ac98d5840_5,0,0,[]
b9aa11e17_1,0,0,[]
3f2a7867c_1,0,0,[]
477a186bc_5,0,0,[]
3846a8c0c_5,0,0,[]
0aa7955fd_1,0,0,[]
e874f3235_2,0,0,[]
9958480e2_4,0,0,[]
364c83806_2,0,0,[]
606f35768_3,0,0,[]
f910b7857_1,0,0,[]
fea2f6ad2_5,0,0,[]
607105dac_4,0,0,[]
cc0bf97cf_2,0,0,[]
48f69ea12_1,0,0,[]
3158e73b2_2,0,0,[]
b41ab39a5_1,0,0,[]
d8e21a2ae_2,0,0,[]
8baffdc70_1,0,0,[]
4f64d3b50_4,0,0,[]
dd1683e7b_1,0,0,[]
64782db0a_1,0,0,[]
ab0010546_5,0,0,[]
636700b91_5,0,0,[]
ad6fb4fab_1,0,0,[]
0e62d06d5_5,0,0,[]
1ec98acac_4,0,0,[]
e13c443d5_3,0,0,[]
e667de6f9_5,0,0,[]
bfc82bcbd_2,0,0,[]
9c024e0ba_5,0,0,[]
720e3f026_2,0,0,[]
74048991c_3,0,0,[]
b925ef3b7_5,0,0,[]
99d359803_2,0,0,[]
534fa3ac4_3,0,0,[]
eab4edf22_2,0,0,[]
bacfd8fc8_2,0,0,[]
321975fb3_2,0,0,[]
1f4161475_3,0,0,[]
8c8e79fa0_5,0,0,[]
c3ff6937c_4,0,0,[]
4c8168fcb_4,0,0,[]
9ea3ea37b_1,0,0,[]
8ce8ed455_4,0,0,[]
b12e436c3_1,0,0,[]
56d523688_1,0,0,[]
1bdcc6338_2,0,0,[]
22031aa8f_5,0,0,[]
6fe50d73a_1,0,0,[]
b4efa00f7_2,0,0,[]
